"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","1.2213","1.2298","1.2310","1.2209","89.06K","-0.67%"
"12/30/2020","1.2295","1.2248","1.2311","1.2246","104.54K","0.39%"
"12/29/2020","1.2247","1.2217","1.2276","1.2207","98.53K","0.27%"
"12/28/2020","1.2214","1.2202","1.2251","1.2181","77.76K","0.08%"
"12/25/2020","1.2204","1.2186","1.2212","1.2165","14.42K","0.15%"
"12/24/2020","1.2186","1.2188","1.2217","1.2177","134.45K","0.01%"
"12/23/2020","1.2185","1.2163","1.2221","1.2154","197.79K","0.20%"
"12/22/2020","1.2161","1.2244","1.2257","1.2151","179.41K","-0.66%"
"12/21/2020","1.2242","1.2242","1.2254","1.2129","162.42K","-0.11%"
"12/18/2020","1.2255","1.2268","1.2273","1.2225","103.62K","-0.09%"
"12/17/2020","1.2266","1.2199","1.2274","1.2191","118.83K","0.57%"
"12/16/2020","1.2197","1.2152","1.2213","1.2125","141.79K","0.38%"
"12/15/2020","1.2151","1.2143","1.2170","1.2121","121.01K","0.07%"
"12/14/2020","1.2143","1.2131","1.2177","1.2115","92.55K","0.26%"
"12/11/2020","1.2111","1.2137","1.2163","1.2105","86.53K","-0.21%"
"12/10/2020","1.2136","1.2083","1.2160","1.2075","94.87K","0.46%"
"12/09/2020","1.2081","1.2103","1.2148","1.2059","134.03K","-0.17%"
"12/08/2020","1.2101","1.2109","1.2134","1.2095","150.89K","-0.06%"
"12/07/2020","1.2108","1.2128","1.2167","1.2078","130.83K","-0.10%"
"12/04/2020","1.2120","1.2142","1.2178","1.2110","131.09K","-0.16%"
"12/03/2020","1.2140","1.2115","1.2177","1.2100","132.12K","0.21%"
"12/02/2020","1.2115","1.2070","1.2119","1.2040","105.23K","0.37%"
"12/01/2020","1.2070","1.1928","1.2077","1.1926","100.31K","1.19%"
"11/30/2020","1.1928","1.1957","1.2004","1.1924","74.00K","-0.28%"
"11/27/2020","1.1962","1.1914","1.1965","1.1907","72.27K","0.41%"
"11/26/2020","1.1913","1.1916","1.1941","1.1884","78.64K","0.00%"
"11/25/2020","1.1913","1.1891","1.1931","1.1882","105.99K","0.21%"
"11/24/2020","1.1888","1.1842","1.1897","1.1837","96.60K","0.41%"
"11/23/2020","1.1840","1.1853","1.1906","1.1800","86.12K","-0.11%"
"11/20/2020","1.1853","1.1875","1.1891","1.1849","103.33K","-0.17%"
"11/19/2020","1.1873","1.1853","1.1883","1.1816","113.76K","0.18%"
"11/18/2020","1.1852","1.1863","1.1892","1.1848","129.04K","-0.08%"
"11/17/2020","1.1861","1.1852","1.1895","1.1842","87.18K","0.07%"
"11/16/2020","1.1853","1.1829","1.1869","1.1813","84.28K","0.18%"
"11/13/2020","1.1832","1.1805","1.1838","1.1798","117.64K","0.24%"
"11/12/2020","1.1804","1.1777","1.1824","1.1758","136.87K","0.23%"
"11/11/2020","1.1777","1.1810","1.1834","1.1745","142.79K","-0.31%"
"11/10/2020","1.1814","1.1812","1.1844","1.1780","164.31K","0.01%"
"11/09/2020","1.1813","1.1882","1.1920","1.1795","151.73K","-0.50%"
"11/06/2020","1.1872","1.1826","1.1891","1.1795","133.31K","0.43%"
"11/05/2020","1.1821","1.1725","1.1861","1.1710","124.20K","0.84%"
"11/04/2020","1.1722","1.1715","1.1770","1.1603","143.65K","0.09%"
"11/03/2020","1.1711","1.1640","1.1740","1.1633","89.57K","0.61%"
"11/02/2020","1.1640","1.1658","1.1658","1.1622","87.85K","-0.06%"
"10/30/2020","1.1647","1.1674","1.1705","1.1639","116.35K","-0.23%"
"10/29/2020","1.1674","1.1746","1.1760","1.1650","148.26K","-0.60%"
"10/28/2020","1.1744","1.1796","1.1798","1.1717","110.98K","-0.43%"
"10/27/2020","1.1795","1.1810","1.1839","1.1793","87.25K","-0.11%"
"10/26/2020","1.1808","1.1858","1.1861","1.1803","84.54K","-0.43%"
"10/23/2020","1.1859","1.1819","1.1866","1.1787","99.23K","0.36%"
"10/22/2020","1.1816","1.1862","1.1868","1.1811","92.34K","-0.38%"
"10/21/2020","1.1861","1.1822","1.1882","1.1821","102.15K","0.34%"
"10/20/2020","1.1821","1.1769","1.1841","1.1760","80.90K","0.47%"
"10/19/2020","1.1766","1.1722","1.1795","1.1703","79.03K","0.41%"
"10/16/2020","1.1718","1.1708","1.1746","1.1694","99.82K","0.10%"
"10/15/2020","1.1706","1.1747","1.1760","1.1688","93.65K","-0.34%"
"10/14/2020","1.1746","1.1746","1.1772","1.1719","101.99K","0.02%"
"10/13/2020","1.1744","1.1813","1.1817","1.1731","109.71K","-0.58%"
"10/12/2020","1.1813","1.1819","1.1827","1.1786","93.74K","-0.09%"
"10/09/2020","1.1824","1.1759","1.1832","1.1753","80.07K","0.56%"
"10/08/2020","1.1758","1.1762","1.1782","1.1732","123.24K","-0.02%"
"10/07/2020","1.1760","1.1735","1.1783","1.1724","110.95K","0.22%"
"10/06/2020","1.1734","1.1782","1.1809","1.1731","116.86K","-0.40%"
"10/05/2020","1.1781","1.1716","1.1798","1.1707","89.85K","0.58%"
"10/02/2020","1.1713","1.1748","1.1751","1.1695","133.92K","-0.29%"
"10/01/2020","1.1747","1.1719","1.1770","1.1717","124.50K","0.25%"
"09/30/2020","1.1718","1.1743","1.1756","1.1684","97.74K","-0.20%"
"09/29/2020","1.1742","1.1666","1.1746","1.1660","83.24K","0.67%"
"09/28/2020","1.1664","1.1638","1.1679","1.1615","66.53K","0.29%"
"09/25/2020","1.1630","1.1671","1.1686","1.1612","110.25K","-0.36%"
"09/24/2020","1.1672","1.1660","1.1688","1.1626","137.59K","0.11%"
"09/23/2020","1.1659","1.1708","1.1719","1.1651","138.94K","-0.40%"
"09/22/2020","1.1706","1.1770","1.1774","1.1691","126.68K","-0.54%"
"09/21/2020","1.1769","1.1848","1.1873","1.1731","138.82K","-0.57%"
"09/18/2020","1.1837","1.1848","1.1871","1.1826","101.56K","-0.08%"
"09/17/2020","1.1847","1.1816","1.1854","1.1737","120.76K","0.28%"
"09/16/2020","1.1814","1.1850","1.1883","1.1787","99.17K","-0.26%"
"09/15/2020","1.1845","1.1865","1.1901","1.1839","74.09K","-0.19%"
"09/14/2020","1.1868","1.1840","1.1889","1.1830","66.10K","0.19%"
"09/11/2020","1.1845","1.1814","1.1875","1.1812","85.26K","0.27%"
"09/10/2020","1.1813","1.1801","1.1918","1.1800","97.14K","0.09%"
"09/09/2020","1.1802","1.1777","1.1834","1.1753","107.96K","0.20%"
"09/08/2020","1.1779","1.1817","1.1829","1.1765","108.81K","-0.32%"
"09/07/2020","1.1817","1.1833","1.1849","1.1811","72.67K","-0.18%"
"09/04/2020","1.1838","1.1850","1.1866","1.1781","99.67K","-0.09%"
"09/03/2020","1.1849","1.1852","1.1866","1.1789","106.37K","-0.03%"
"09/02/2020","1.1853","1.1911","1.1931","1.1822","102.49K","-0.48%"
"09/01/2020","1.1910","1.1936","1.2012","1.1901","103.88K","-0.22%"
"08/31/2020","1.1936","1.1899","1.1967","1.1883","86.90K","0.28%"
"08/28/2020","1.1903","1.1822","1.1920","1.1810","95.96K","0.69%"
"08/27/2020","1.1821","1.1831","1.1902","1.1762","104.95K","-0.07%"
"08/26/2020","1.1829","1.1834","1.1841","1.1772","99.76K","-0.03%"
"08/25/2020","1.1833","1.1793","1.1845","1.1783","99.43K","0.39%"
"08/24/2020","1.1787","1.1787","1.1851","1.1783","86.28K","-0.07%"
"08/21/2020","1.1795","1.1860","1.1883","1.1754","98.56K","-0.54%"
"08/20/2020","1.1859","1.1839","1.1869","1.1802","114.05K","0.19%"
"08/19/2020","1.1836","1.1931","1.1954","1.1830","110.24K","-0.78%"
"08/18/2020","1.1929","1.1870","1.1967","1.1865","105.45K","0.51%"
"08/17/2020","1.1869","1.1840","1.1882","1.1829","86.60K","0.24%"
"08/14/2020","1.1841","1.1815","1.1852","1.1782","78.13K","0.25%"
"08/13/2020","1.1812","1.1786","1.1865","1.1781","93.34K","0.25%"
"08/12/2020","1.1782","1.1740","1.1816","1.1710","81.07K","0.37%"
"08/11/2020","1.1739","1.1738","1.1808","1.1722","101.79K","0.03%"
"08/10/2020","1.1736","1.1788","1.1803","1.1736","87.41K","-0.42%"
"08/07/2020","1.1786","1.1877","1.1884","1.1755","102.81K","-0.75%"
"08/06/2020","1.1875","1.1863","1.1917","1.1818","121.22K","0.12%"
"08/05/2020","1.1861","1.1802","1.1906","1.1793","106.24K","0.52%"
"08/04/2020","1.1800","1.1765","1.1807","1.1720","90.14K","0.33%"
"08/03/2020","1.1761","1.1783","1.1797","1.1696","97.01K","-0.11%"
"07/31/2020","1.1774","1.1846","1.1910","1.1760","111.29K","-0.61%"
"07/30/2020","1.1846","1.1788","1.1849","1.1731","119.56K","0.47%"
"07/29/2020","1.1790","1.1718","1.1807","1.1714","99.77K","0.65%"
"07/28/2020","1.1714","1.1753","1.1774","1.1698","103.30K","-0.31%"
"07/27/2020","1.1751","1.1646","1.1782","1.1637","102.17K","0.83%"
"07/24/2020","1.1654","1.1597","1.1659","1.1580","107.48K","0.52%"
"07/23/2020","1.1594","1.1575","1.1628","1.1539","101.83K","0.22%"
"07/22/2020","1.1568","1.1528","1.1602","1.1507","98.97K","0.36%"
"07/21/2020","1.1526","1.1447","1.1540","1.1422","91.41K","0.72%"
"07/20/2020","1.1444","1.1410","1.1468","1.1401","91.33K","0.16%"
"07/17/2020","1.1426","1.1384","1.1444","1.1377","104.77K","0.38%"
"07/16/2020","1.1383","1.1411","1.1443","1.1370","117.85K","-0.24%"
"07/15/2020","1.1410","1.1400","1.1452","1.1391","114.09K","0.12%"
"07/14/2020","1.1396","1.1343","1.1409","1.1324","122.20K","0.49%"
"07/13/2020","1.1340","1.1300","1.1375","1.1297","94.59K","0.37%"
"07/10/2020","1.1298","1.1285","1.1326","1.1255","92.41K","0.15%"
"07/09/2020","1.1281","1.1329","1.1372","1.1279","102.92K","-0.42%"
"07/08/2020","1.1329","1.1273","1.1352","1.1262","114.71K","0.52%"
"07/07/2020","1.1270","1.1308","1.1334","1.1258","118.91K","-0.34%"
"07/06/2020","1.1308","1.1242","1.1346","1.1240","92.46K","0.53%"
"07/03/2020","1.1248","1.1239","1.1254","1.1219","117.33K","0.09%"
"07/02/2020","1.1238","1.1252","1.1303","1.1222","109.99K","-0.11%"
"07/01/2020","1.1250","1.1233","1.1276","1.1185","98.49K","0.17%"
"06/30/2020","1.1231","1.1242","1.1263","1.1191","125.66K","-0.08%"
"06/29/2020","1.1240","1.1227","1.1289","1.1216","120.44K","0.21%"
"06/26/2020","1.1217","1.1218","1.1241","1.1194","117.84K","0.00%"
"06/25/2020","1.1217","1.1251","1.1261","1.1190","130.05K","-0.29%"
"06/24/2020","1.1250","1.1308","1.1327","1.1248","121.54K","-0.50%"
"06/23/2020","1.1306","1.1259","1.1350","1.1233","131.87K","0.43%"
"06/22/2020","1.1258","1.1185","1.1271","1.1168","109.67K","0.74%"
"06/19/2020","1.1175","1.1205","1.1255","1.1168","122.26K","-0.24%"
"06/18/2020","1.1202","1.1244","1.1264","1.1185","125.42K","-0.36%"
"06/17/2020","1.1243","1.1264","1.1295","1.1207","137.11K","-0.18%"
"06/16/2020","1.1263","1.1325","1.1353","1.1228","120.59K","-0.52%"
"06/15/2020","1.1322","1.1245","1.1334","1.1226","127.45K","0.60%"
"06/12/2020","1.1254","1.1299","1.1341","1.1212","119.10K","-0.38%"
"06/11/2020","1.1297","1.1373","1.1404","1.1287","144.07K","-0.63%"
"06/10/2020","1.1369","1.1340","1.1423","1.1322","120.98K","0.26%"
"06/09/2020","1.1340","1.1297","1.1365","1.1241","119.40K","0.43%"
"06/08/2020","1.1292","1.1289","1.1321","1.1267","92.17K","0.07%"
"06/05/2020","1.1284","1.1337","1.1385","1.1278","118.69K","-0.46%"
"06/04/2020","1.1336","1.1234","1.1363","1.1194","123.94K","0.93%"
"06/03/2020","1.1232","1.1172","1.1257","1.1166","136.51K","0.56%"
"06/02/2020","1.1169","1.1137","1.1197","1.1114","128.72K","0.31%"
"06/01/2020","1.1134","1.1097","1.1155","1.1095","103.97K","0.32%"
"05/29/2020","1.1098","1.1078","1.1146","1.1070","119.66K","0.20%"
"05/28/2020","1.1076","1.1005","1.1094","1.0991","121.59K","0.66%"
"05/27/2020","1.1003","1.0983","1.1032","1.0934","123.60K","0.21%"
"05/26/2020","1.0980","1.0899","1.0997","1.0891","100.33K","0.74%"
"05/25/2020","1.0899","1.0903","1.0915","1.0870","65.12K","-0.01%"
"05/22/2020","1.0900","1.0949","1.0961","1.0885","118.98K","-0.45%"
"05/21/2020","1.0949","1.0979","1.1010","1.0936","109.50K","-0.26%"
"05/20/2020","1.0977","1.0928","1.1000","1.0918","118.50K","0.51%"
"05/19/2020","1.0921","1.0913","1.0977","1.0901","112.06K","0.08%"
"05/18/2020","1.0912","1.0816","1.0927","1.0799","90.58K","0.90%"
"05/15/2020","1.0815","1.0805","1.0851","1.0789","98.48K","0.10%"
"05/14/2020","1.0804","1.0819","1.0826","1.0775","115.47K","-0.11%"
"05/13/2020","1.0816","1.0848","1.0897","1.0811","119.99K","-0.28%"
"05/12/2020","1.0846","1.0807","1.0885","1.0784","125.12K","0.37%"
"05/11/2020","1.0806","1.0838","1.0851","1.0800","96.78K","-0.31%"
"05/08/2020","1.0840","1.0833","1.0876","1.0814","104.97K","0.07%"
"05/07/2020","1.0832","1.0795","1.0835","1.0766","109.25K","0.35%"
"05/06/2020","1.0794","1.0836","1.0848","1.0782","106.06K","-0.41%"
"05/05/2020","1.0838","1.0907","1.0927","1.0826","100.33K","-0.62%"
"05/04/2020","1.0906","1.0980","1.0980","1.0895","87.75K","-0.70%"
"05/01/2020","1.0983","1.0956","1.1019","1.0934","91.35K","0.26%"
"04/30/2020","1.0955","1.0872","1.0973","1.0833","122.44K","0.75%"
"04/29/2020","1.0873","1.0819","1.0886","1.0818","131.41K","0.51%"
"04/28/2020","1.0818","1.0829","1.0890","1.0810","132.70K","-0.09%"
"04/27/2020","1.0828","1.0809","1.0862","1.0808","113.19K","0.07%"
"04/24/2020","1.0820","1.0778","1.0831","1.0726","119.65K","0.41%"
"04/23/2020","1.0776","1.0824","1.0848","1.0755","121.04K","-0.43%"
"04/22/2020","1.0822","1.0857","1.0886","1.0802","114.98K","-0.31%"
"04/21/2020","1.0856","1.0862","1.0882","1.0816","121.51K","-0.06%"
"04/20/2020","1.0862","1.0875","1.0898","1.0841","114.31K","-0.13%"
"04/17/2020","1.0876","1.0835","1.0893","1.0812","129.16K","0.38%"
"04/16/2020","1.0835","1.0911","1.0913","1.0817","128.71K","-0.66%"
"04/15/2020","1.0907","1.0980","1.0991","1.0856","111.31K","-0.66%"
"04/14/2020","1.0979","1.0914","1.0988","1.0904","110.47K","0.60%"
"04/13/2020","1.0913","1.0941","1.0969","1.0892","62.17K","-0.20%"
"04/10/2020","1.0935","1.0930","1.0953","1.0919","62.11K","0.07%"
"04/09/2020","1.0927","1.0857","1.0953","1.0841","116.28K","0.65%"
"04/08/2020","1.0856","1.0891","1.0904","1.0829","128.09K","-0.30%"
"04/07/2020","1.0889","1.0793","1.0926","1.0783","140.12K","0.91%"
"04/06/2020","1.0791","1.0813","1.0835","1.0768","115.26K","-0.16%"
"04/03/2020","1.0808","1.0858","1.0865","1.0773","114.66K","-0.44%"
"04/02/2020","1.0856","1.0964","1.0970","1.0820","131.83K","-0.97%"
"04/01/2020","1.0962","1.1031","1.1040","1.0903","127.79K","-0.61%"
"03/31/2020","1.1029","1.1049","1.1056","1.0926","132.03K","-0.15%"
"03/30/2020","1.1046","1.1136","1.1145","1.1010","120.26K","-0.84%"
"03/27/2020","1.1140","1.1030","1.1148","1.0953","137.10K","1.02%"
"03/26/2020","1.1028","1.0881","1.1059","1.0869","135.71K","1.36%"
"03/25/2020","1.0880","1.0789","1.0895","1.0761","141.89K","0.86%"
"03/24/2020","1.0787","1.0726","1.0889","1.0722","140.57K","0.62%"
"03/23/2020","1.0721","1.0696","1.0828","1.0637","142.13K","0.25%"
"03/20/2020","1.0694","1.0691","1.0832","1.0637","157.42K","0.04%"
"03/19/2020","1.0690","1.0915","1.0982","1.0654","154.12K","-2.04%"
"03/18/2020","1.0913","1.0997","1.1046","1.0802","142.40K","-0.75%"
"03/17/2020","1.0996","1.1183","1.1190","1.0955","135.65K","-1.65%"
"03/16/2020","1.1181","1.1085","1.1237","1.1046","140.34K","0.68%"
"03/13/2020","1.1105","1.1185","1.1222","1.1054","150.52K","-0.70%"
"03/12/2020","1.1183","1.1269","1.1334","1.1055","141.45K","-0.75%"
"03/11/2020","1.1267","1.1280","1.1367","1.1257","136.10K","-0.11%"
"03/10/2020","1.1279","1.1446","1.1459","1.1274","130.04K","-1.47%"
"03/09/2020","1.1447","1.1292","1.1494","1.1284","140.67K","1.44%"
"03/06/2020","1.1285","1.1238","1.1356","1.1212","120.58K","0.41%"
"03/05/2020","1.1239","1.1136","1.1245","1.1119","95.96K","0.94%"
"03/04/2020","1.1134","1.1172","1.1187","1.1094","99.18K","-0.33%"
"03/03/2020","1.1171","1.1133","1.1214","1.1095","111.38K","0.35%"
"03/02/2020","1.1132","1.1003","1.1186","1.1003","112.46K","0.97%"
"02/28/2020","1.1025","1.1001","1.1054","1.0950","103.28K","0.25%"
"02/27/2020","1.0998","1.0881","1.1006","1.0878","96.55K","1.09%"
"02/26/2020","1.0879","1.0881","1.0910","1.0855","96.53K","0.00%"
"02/25/2020","1.0879","1.0854","1.0891","1.0829","95.39K","0.25%"
"02/24/2020","1.0852","1.0841","1.0872","1.0805","80.31K","0.08%"
"02/21/2020","1.0843","1.0785","1.0864","1.0783","72.95K","0.56%"
"02/20/2020","1.0783","1.0806","1.0821","1.0776","79.09K","-0.19%"
"02/19/2020","1.0804","1.0791","1.0812","1.0782","78.97K","0.12%"
"02/18/2020","1.0791","1.0838","1.0839","1.0785","79.00K","-0.40%"
"02/17/2020","1.0834","1.0832","1.0852","1.0821","57.61K","0.04%"
"02/14/2020","1.0830","1.0841","1.0862","1.0827","71.96K","-0.09%"
"02/13/2020","1.0840","1.0874","1.0890","1.0833","74.39K","-0.29%"
"02/12/2020","1.0871","1.0916","1.0927","1.0864","71.51K","-0.39%"
"02/11/2020","1.0914","1.0911","1.0926","1.0891","73.60K","0.05%"
"02/10/2020","1.0909","1.0951","1.0958","1.0907","75.92K","-0.31%"
"02/07/2020","1.0943","1.0983","1.0986","1.0941","69.26K","-0.34%"
"02/06/2020","1.0980","1.0999","1.1014","1.0964","72.55K","-0.15%"
"02/05/2020","1.0997","1.1044","1.1049","1.0993","71.87K","-0.41%"
"02/04/2020","1.1042","1.1059","1.1065","1.1033","71.23K","-0.14%"
"02/03/2020","1.1058","1.1092","1.1096","1.1035","63.80K","-0.32%"
"01/31/2020","1.1093","1.1032","1.1097","1.1016","69.73K","0.57%"
"01/30/2020","1.1030","1.1010","1.1040","1.1006","71.94K","0.19%"
"01/29/2020","1.1009","1.1022","1.1028","1.0991","66.91K","-0.10%"
"01/28/2020","1.1020","1.1019","1.1026","1.0998","63.24K","0.04%"
"01/27/2020","1.1016","1.1021","1.1039","1.1009","66.68K","-0.06%"
"01/24/2020","1.1023","1.1055","1.1063","1.1020","56.27K","-0.26%"
"01/23/2020","1.1052","1.1092","1.1109","1.1036","51.04K","-0.35%"
"01/22/2020","1.1091","1.1084","1.1099","1.1070","61.01K","0.08%"
"01/21/2020","1.1082","1.1095","1.1119","1.1080","59.80K","-0.11%"
"01/20/2020","1.1094","1.1092","1.1104","1.1076","48.78K","0.05%"
"01/17/2020","1.1088","1.1136","1.1143","1.1085","51.68K","-0.42%"
"01/16/2020","1.1135","1.1151","1.1173","1.1128","63.96K","-0.13%"
"01/15/2020","1.1149","1.1130","1.1164","1.1118","73.33K","0.20%"
"01/14/2020","1.1127","1.1135","1.1145","1.1104","75.22K","-0.05%"
"01/13/2020","1.1133","1.1125","1.1148","1.1112","64.89K","0.12%"
"01/10/2020","1.1120","1.1106","1.1130","1.1085","63.10K","0.14%"
"01/09/2020","1.1105","1.1106","1.1121","1.1092","71.07K","0.02%"
"01/08/2020","1.1103","1.1154","1.1169","1.1101","87.76K","-0.43%"
"01/07/2020","1.1151","1.1198","1.1198","1.1133","69.97K","-0.38%"
"01/06/2020","1.1193","1.1168","1.1207","1.1155","58.88K","0.31%"
"01/03/2020","1.1158","1.1172","1.1181","1.1125","56.62K","-0.11%"
"01/02/2020","1.1170","1.1212","1.1227","1.1163","43.89K","-0.36%"
"01/01/2020","1.1210","1.1213","1.1223","1.1205","0.78K","0.00%"
"12/31/2019","1.1210","1.1198","1.1240","1.1198","43.32K","0.12%"